timestamp,action_type,item_id,source,user_answer,platform
1562224140578,enter,b3280,diagnosis,,mobile
1562224154025,respond,q4748,diagnosis,a,mobile
1562224161433,submit,b3280,diagnosis,,mobile
1562224162245,enter,b3486,diagnosis,,mobile
1562224170089,respond,q4954,diagnosis,a,mobile
1562224174751,submit,b3486,diagnosis,,mobile
1562224174793,enter,b2823,diagnosis,,mobile
1562224188353,respond,q4291,diagnosis,a,mobile
1562224192990,submit,b2823,diagnosis,,mobile
1562224193045,enter,b2713,diagnosis,,mobile
1562224194730,respond,q4181,diagnosis,a,mobile
1562224200972,submit,b2713,diagnosis,,mobile
1562224201015,enter,b218,diagnosis,,mobile
1562224229797,respond,q218,diagnosis,c,mobile
1562224234540,submit,b218,diagnosis,,mobile
1562224234581,enter,b4499,diagnosis,,mobile
1562224242247,respond,q5967,diagnosis,a,mobile
1562224248296,submit,b4499,diagnosis,,mobile
1562224248357,enter,b3,diagnosis,,mobile
1562224272400,respond,q3,diagnosis,b,mobile
1562224277354,submit,b3,diagnosis,,mobile
1562224277390,enter,b2577,diagnosis,,mobile
1562224282334,respond,q4045,diagnosis,a,mobile
1562224290282,submit,b2577,diagnosis,,mobile
