timestamp,action_type,item_id,source,user_answer,platform
1563466205912,enter,b3394,diagnosis,,mobile
1563466222752,respond,q4862,diagnosis,a,mobile
1563466230672,submit,b3394,diagnosis,,mobile
1563466231671,enter,b2394,diagnosis,,mobile
1563466245531,respond,q3862,diagnosis,a,mobile
1563466253193,submit,b2394,diagnosis,,mobile
1563466253317,enter,b4337,diagnosis,,mobile
1563466267188,respond,q5805,diagnosis,c,mobile
1563466274092,submit,b4337,diagnosis,,mobile
1563466274207,enter,b3131,diagnosis,,mobile
1563466295907,respond,q4599,diagnosis,a,mobile
1563466301285,submit,b3131,diagnosis,,mobile
1563466301405,enter,b5075,diagnosis,,mobile
1563466329616,respond,q6543,diagnosis,d,mobile
1563466335721,submit,b5075,diagnosis,,mobile
1563466335840,enter,b4651,diagnosis,,mobile
1563466348521,respond,q6119,diagnosis,a,mobile
1563466352900,submit,b4651,diagnosis,,mobile
1563466353013,enter,b3779,diagnosis,,mobile
1563466368037,respond,q5247,diagnosis,b,mobile
1563466372255,submit,b3779,diagnosis,,mobile
1563466372377,enter,b5161,diagnosis,,mobile
1563466389788,respond,q6755,diagnosis,c,mobile
1563466397055,submit,b5161,diagnosis,,mobile
1563714947576,enter,b2575,review_quiz,,mobile
1563714954387,respond,q4043,review_quiz,c,mobile
1563714965258,submit,b2575,review_quiz,,mobile
1563714969769,enter,b2394,review_quiz,,mobile
1563714978279,respond,q3862,review_quiz,a,mobile
1563714981178,submit,b2394,review_quiz,,mobile
1563715502159,enter,b5626,sprint,,mobile
1563715524638,respond,q8155,sprint,d,mobile
1563715528910,submit,b5626,sprint,,mobile
1563715534361,enter,b160,sprint,,mobile
1563715560789,respond,q160,sprint,d,mobile
1563715564132,submit,b160,sprint,,mobile
1563715569974,enter,b73,sprint,,mobile
1563715584077,respond,q73,sprint,b,mobile
1563715594505,submit,b73,sprint,,mobile
1563715600638,enter,b8207,sprint,,mobile
1563715610163,respond,q11154,sprint,a,mobile
1563715627930,submit,b8207,sprint,,mobile
1563715635217,enter,b130,sprint,,mobile
1563715644322,respond,q130,sprint,a,mobile
1563715661410,submit,b130,sprint,,mobile
1563715668572,enter,b167,sprint,,mobile
1563715677675,respond,q167,sprint,a,mobile
1563715681754,submit,b167,sprint,,mobile
1563715686276,enter,b122,sprint,,mobile
1563715696342,respond,q122,sprint,b,mobile
1563715711408,submit,b122,sprint,,mobile
1563715715793,enter,b8212,sprint,,mobile
1563715732092,respond,q11159,sprint,c,mobile
1563715736633,respond,q11159,sprint,d,mobile
1563715739362,submit,b8212,sprint,,mobile
1563715745075,enter,b125,sprint,,mobile
1563715769117,respond,q125,sprint,a,mobile
1563715772205,submit,b125,sprint,,mobile
1563715776703,enter,b5549,sprint,,mobile
1563715800941,submit,b5549,sprint,,mobile
1563715892527,enter,b3925,sprint,,mobile
1563715919614,respond,q5393,sprint,d,mobile
1563715922934,submit,b3925,sprint,,mobile
1563715931118,enter,b6002,sprint,,mobile
1563715952536,respond,q8651,sprint,a,mobile
1563715955384,submit,b6002,sprint,,mobile
1563715961631,enter,b4520,sprint,,mobile
1563715980822,respond,q5988,sprint,c,mobile
1563715982914,respond,q5988,sprint,d,mobile
1563715985994,submit,b4520,sprint,,mobile
1563716007350,enter,b6190,sprint,,mobile
1563716018703,respond,q8839,sprint,b,mobile
1563716025132,submit,b6190,sprint,,mobile
1563716031253,enter,b3603,sprint,,mobile
1563716043520,respond,q5071,sprint,a,mobile
1563716047665,submit,b3603,sprint,,mobile
1564015273320,enter,b5111,sprint,,mobile
1564015373642,respond,q6660,sprint,a,mobile
1564015443209,submit,b5111,sprint,,mobile
1564015464334,enter,b5191,sprint,,mobile
1564015537359,respond,q6860,sprint,b,mobile
1564015543467,submit,b5191,sprint,,mobile
1564015570453,enter,b5087,sprint,,mobile
1564015663818,respond,q6564,sprint,d,mobile
1564015669822,submit,b5087,sprint,,mobile
1564589780373,enter,b5087,adaptive_offer,,mobile
1564589831975,respond,q6564,adaptive_offer,c,mobile
1564589836443,submit,b5087,adaptive_offer,,mobile
