timestamp,action_type,item_id,source,user_answer,platform
1563617887401,enter,b6959,diagnosis,,mobile
1563617905872,respond,q9608,diagnosis,a,mobile
1563617909691,submit,b6959,diagnosis,,mobile
1563617964819,enter,b1116,diagnosis,,mobile
1563617975657,respond,q1116,diagnosis,a,mobile
1563617980113,submit,b1116,diagnosis,,mobile
1563617980175,enter,b4195,diagnosis,,mobile
1563618005164,respond,q5663,diagnosis,b,mobile
1563618009607,submit,b4195,diagnosis,,mobile
1563618009664,enter,b3779,diagnosis,,mobile
1563618048285,respond,q5247,diagnosis,d,mobile
1563618052285,respond,q5247,diagnosis,b,mobile
1563618057840,submit,b3779,diagnosis,,mobile
1563618057936,enter,b3450,diagnosis,,mobile
1563618090872,respond,q4918,diagnosis,c,mobile
1563618093897,respond,q4918,diagnosis,d,mobile
1563618097152,submit,b3450,diagnosis,,mobile
1563618097218,enter,b2823,diagnosis,,mobile
1563618118120,respond,q4291,diagnosis,b,mobile
1563618121873,submit,b2823,diagnosis,,mobile
1563618121943,enter,b2557,diagnosis,,mobile
1563618146031,respond,q4025,diagnosis,a,mobile
1563618150106,submit,b2557,diagnosis,,mobile
1563618150172,enter,b3104,diagnosis,,mobile
1563618170213,respond,q4572,diagnosis,c,mobile
1563618176709,submit,b3104,diagnosis,,mobile
1563618176760,enter,b2320,diagnosis,,mobile
1563618202768,respond,q3788,diagnosis,d,mobile
1563618206210,submit,b2320,diagnosis,,mobile
1563618206270,enter,b3756,diagnosis,,mobile
1563618246869,respond,q5224,diagnosis,d,mobile
1563618252368,submit,b3756,diagnosis,,mobile
1563618521561,enter,b973,sprint,,mobile
1563618523508,respond,q973,sprint,c,mobile
1563618536095,respond,q973,sprint,b,mobile
1563618539173,respond,q973,sprint,a,mobile
1563618542597,submit,b973,sprint,,mobile
1564457867019,enter,b3042,sprint,,mobile
1564457885715,respond,q4510,sprint,a,mobile
1564457890132,submit,b3042,sprint,,mobile
1564457919460,enter,b3885,sprint,,mobile
1564457946815,respond,q5353,sprint,a,mobile
1564457955354,submit,b3885,sprint,,mobile
1564458018255,enter,b4280,sprint,,mobile
1564458055535,respond,q5748,sprint,b,mobile
