timestamp,action_type,item_id,source,user_answer,platform
1542858032319,enter,b3916,diagnosis,,mobile
1542858062142,submit,b3916,diagnosis,,mobile
1542858084799,enter,b3916,diagnosis,,mobile
1542858104375,respond,q5384,diagnosis,c,mobile
1542858108357,submit,b3916,diagnosis,,mobile
1542858108410,enter,b2651,diagnosis,,mobile
1542858124834,respond,q4119,diagnosis,d,mobile
1542858129145,submit,b2651,diagnosis,,mobile
1542858129189,enter,b6931,diagnosis,,mobile
1542858146384,respond,q9580,diagnosis,c,mobile
1542858150921,submit,b6931,diagnosis,,mobile
1542858150970,enter,b2425,diagnosis,,mobile
1542858158857,respond,q3893,diagnosis,b,mobile
1542858163079,submit,b2425,diagnosis,,mobile
1542858163125,enter,b326,diagnosis,,mobile
1542858204922,respond,q326,diagnosis,c,mobile
1542858209199,submit,b326,diagnosis,,mobile
1542858209251,enter,b4700,diagnosis,,mobile
1542858226371,respond,q6168,diagnosis,a,mobile
1542858230105,submit,b4700,diagnosis,,mobile
1542858230165,enter,b2383,diagnosis,,mobile
1542858252388,respond,q3851,diagnosis,b,mobile
1542858255411,submit,b2383,diagnosis,,mobile
