timestamp,action_type,item_id,source,user_answer,platform
1566340957662,enter,b6038,diagnosis,,mobile
1566340978620,respond,q8687,diagnosis,d,mobile
1566340984928,submit,b6038,diagnosis,,mobile
1566340985055,enter,b4033,diagnosis,,mobile
1566340992632,respond,q5501,diagnosis,b,mobile
1566340996746,submit,b4033,diagnosis,,mobile
1566340996845,enter,b3220,diagnosis,,mobile
1566341018177,respond,q4688,diagnosis,d,mobile
1566341023133,submit,b3220,diagnosis,,mobile
1566341023216,enter,b712,diagnosis,,mobile
1566341041561,respond,q712,diagnosis,b,mobile
1566341046479,submit,b712,diagnosis,,mobile
1566341046565,enter,b336,diagnosis,,mobile
1566341065350,respond,q336,diagnosis,a,mobile
1566341068918,submit,b336,diagnosis,,mobile
1566341069001,enter,b1301,diagnosis,,mobile
1566341082190,respond,q1301,diagnosis,b,mobile
1566341086312,submit,b1301,diagnosis,,mobile
1566341086401,enter,b388,diagnosis,,mobile
1566341100569,respond,q388,diagnosis,b,mobile
1566341105167,submit,b388,diagnosis,,mobile
1566341277739,enter,b861,review_quiz,,mobile
1566341291878,respond,q861,review_quiz,b,mobile
1566341294964,submit,b861,review_quiz,,mobile
1566341560705,enter,b2646,sprint,,mobile
1566341591571,respond,q4114,sprint,a,mobile
1566341594744,submit,b2646,sprint,,mobile
1566341732946,enter,b3903,sprint,,mobile
1566341742719,respond,q5371,sprint,a,mobile
1566341746676,submit,b3903,sprint,,mobile
1566341779036,enter,b2787,sprint,,mobile
1566341792465,respond,q4255,sprint,c,mobile
1566341795827,submit,b2787,sprint,,mobile
1566341822042,enter,b6742,sprint,,mobile
1566341859832,respond,q9391,sprint,b,mobile
1566341865722,submit,b6742,sprint,,mobile
1566343176314,enter,b2614,sprint,,mobile
1566343251409,respond,q4082,sprint,a,mobile
1566343263499,submit,b2614,sprint,,mobile
1566343406205,enter,b4975,sprint,,mobile
1566343464321,respond,q6443,sprint,d,mobile
1566343474286,submit,b4975,sprint,,mobile
1566343549868,enter,b6932,sprint,,mobile
1566343568371,respond,q9581,sprint,a,mobile
1566343573833,submit,b6932,sprint,,mobile
1566343641614,enter,b6348,sprint,,mobile
1566343741046,respond,q8997,sprint,d,mobile
1566343746549,submit,b6348,sprint,,mobile
1566343863755,enter,b2325,sprint,,mobile
1566343888899,respond,q3793,sprint,d,mobile
1566343893301,submit,b2325,sprint,,mobile
1566343996046,enter,b2563,sprint,,mobile
1566344053905,respond,q4031,sprint,b,mobile
1566344058895,submit,b2563,sprint,,mobile
