timestamp,action_type,item_id,source,user_answer,platform
1540901545235,enter,b3208,diagnosis,,web
1540901561441,respond,q4676,diagnosis,a,web
1540901562612,submit,b3208,diagnosis,,web
1540901566965,enter,b3871,diagnosis,,web
1540901593676,respond,q5339,diagnosis,a,web
1540901594748,submit,b3871,diagnosis,,web
1540901596825,enter,b3630,diagnosis,,web
1540901629373,respond,q5098,diagnosis,c,web
1540901630225,submit,b3630,diagnosis,,web
1540901632037,enter,b3351,diagnosis,,web
1540901671813,respond,q4819,diagnosis,a,web
1540901672855,submit,b3351,diagnosis,,web
1540901675063,enter,b4212,diagnosis,,web
1540901719468,respond,q5680,diagnosis,d,web
1540901720349,submit,b4212,diagnosis,,web
1540901722457,enter,b218,diagnosis,,web
1540901763625,respond,q218,diagnosis,b,web
1540901764709,submit,b218,diagnosis,,web
