timestamp,action_type,item_id,source,user_answer,platform
1543514688005,enter,b2815,diagnosis,,mobile
1543514708237,respond,q4283,diagnosis,b,mobile
1543514713881,submit,b2815,diagnosis,,mobile
1543514713958,enter,b249,diagnosis,,mobile
1543514734805,respond,q249,diagnosis,c,mobile
1543514757754,submit,b249,diagnosis,,mobile
1543514757823,enter,b3303,diagnosis,,mobile
1543514794988,respond,q4771,diagnosis,c,mobile
1543514800836,submit,b3303,diagnosis,,mobile
1543514800887,enter,b2557,diagnosis,,mobile
1543514818878,respond,q4025,diagnosis,d,mobile
1543514822029,submit,b2557,diagnosis,,mobile
1543514822081,enter,b218,diagnosis,,mobile
1543514840312,respond,q218,diagnosis,b,mobile
1543514844129,submit,b218,diagnosis,,mobile
1543514844184,enter,b297,diagnosis,,mobile
1543514862291,respond,q297,diagnosis,b,mobile
1543514865956,submit,b297,diagnosis,,mobile
1543514866007,enter,b4644,diagnosis,,mobile
1543514885693,respond,q6112,diagnosis,a,mobile
1543514890364,submit,b4644,diagnosis,,mobile
1543515121354,enter,b1188,sprint,,mobile
1543515139494,respond,q1188,sprint,c,mobile
1543515142294,submit,b1188,sprint,,mobile
1543515151473,enter,b1096,sprint,,mobile
1543515168939,respond,q1096,sprint,b,mobile
1543515172925,submit,b1096,sprint,,mobile
1543515178817,enter,b726,sprint,,mobile
1543515197039,respond,q726,sprint,a,mobile
1543515199295,submit,b726,sprint,,mobile
