timestamp,action_type,item_id,source,user_answer,platform
1563637008795,enter,b2224,diagnosis,,mobile
1563637074353,respond,q3692,diagnosis,b,mobile
1563637074417,respond,q3692,diagnosis,d,mobile
1563637084119,submit,b2224,diagnosis,,mobile
1563637095156,enter,b2224,diagnosis,,mobile
1563637113555,respond,q3692,diagnosis,c,mobile
1563637120019,submit,b2224,diagnosis,,mobile
1563637120127,enter,b2349,diagnosis,,mobile
1563637136785,respond,q3817,diagnosis,d,mobile
1563637141012,submit,b2349,diagnosis,,mobile
1563637141080,enter,b210,diagnosis,,mobile
1563637159518,respond,q210,diagnosis,b,mobile
1563637163328,submit,b210,diagnosis,,mobile
1563637163405,enter,b3627,diagnosis,,mobile
1563637185206,respond,q5095,diagnosis,a,mobile
1563637188835,submit,b3627,diagnosis,,mobile
1563637188912,enter,b219,diagnosis,,mobile
1563637203604,respond,q219,diagnosis,b,mobile
1563637210445,submit,b219,diagnosis,,mobile
1563637210523,enter,b326,diagnosis,,mobile
1563637228877,respond,q326,diagnosis,a,mobile
1563637232153,submit,b326,diagnosis,,mobile
1563637232223,enter,b3787,diagnosis,,mobile
1563637243133,respond,q5255,diagnosis,d,mobile
1563637249548,submit,b3787,diagnosis,,mobile
1563637249638,enter,b3262,diagnosis,,mobile
1563637264579,respond,q4730,diagnosis,a,mobile
1563637265185,respond,q4730,diagnosis,c,mobile
1563637272813,respond,q4730,diagnosis,d,mobile
1563637276364,submit,b3262,diagnosis,,mobile
1563637276459,enter,b4540,diagnosis,,mobile
1563637286693,respond,q6008,diagnosis,a,mobile
1563637292750,submit,b4540,diagnosis,,mobile
1563637559731,enter,b4853,sprint,,mobile
1563637571149,respond,q6321,sprint,d,mobile
1563637573744,submit,b4853,sprint,,mobile
1563637583113,enter,b4883,sprint,,mobile
1563637586459,respond,q6351,sprint,c,mobile
1563637589196,submit,b4883,sprint,,mobile
1563637597861,enter,b3610,sprint,,mobile
1563637603339,respond,q5078,sprint,a,mobile
1563637606921,submit,b3610,sprint,,mobile
1563637745636,enter,b6261,sprint,,mobile
1563637753101,respond,q8910,sprint,b,mobile
1563637757873,submit,b6261,sprint,,mobile
1563637771849,enter,b5141,sprint,,mobile
1563637782634,respond,q6735,sprint,b,mobile
1563637787449,submit,b5141,sprint,,mobile
1563637811077,enter,b4302,sprint,,mobile
1563637824208,respond,q5770,sprint,b,mobile
1563637832167,submit,b4302,sprint,,mobile
1563677267387,enter,b3596,sprint,,mobile
1563677283515,respond,q5064,sprint,b,mobile
1563677286946,submit,b3596,sprint,,mobile
1563677326039,enter,b6887,sprint,,mobile
1563677334948,respond,q9536,sprint,a,mobile
1563677337966,submit,b6887,sprint,,mobile
1563677363793,enter,b5146,sprint,,mobile
1563677374317,respond,q6740,sprint,c,mobile
1563677377978,submit,b5146,sprint,,mobile
1563677396232,enter,b5811,sprint,,mobile
1563677405904,respond,q8460,sprint,a,mobile
1563677409400,submit,b5811,sprint,,mobile
1563705660194,enter,b5141,review_quiz,,mobile
1563705667886,respond,q6735,review_quiz,b,mobile
1563705670675,submit,b5141,review_quiz,,mobile
1563853041864,enter,b3006,sprint,,mobile
1563853060641,respond,q4474,sprint,b,mobile
1563853064005,submit,b3006,sprint,,mobile
1563853122145,enter,b5843,sprint,,mobile
1563853138959,respond,q8492,sprint,c,mobile
1563853142002,submit,b5843,sprint,,mobile
1563853167651,enter,b3592,sprint,,mobile
1563853178242,respond,q5060,sprint,c,mobile
1563853183782,submit,b3592,sprint,,mobile
1563853206257,enter,b3817,sprint,,mobile
1563853215700,respond,q5285,sprint,b,mobile
1563853218820,submit,b3817,sprint,,mobile
1563853246617,enter,b4243,sprint,,mobile
1563853260041,respond,q5711,sprint,b,mobile
1563853262975,submit,b4243,sprint,,mobile
1563853280874,enter,b11432,sprint,,mobile
1563853293259,respond,q17195,sprint,c,mobile
1563853294464,respond,q17195,sprint,b,mobile
1563853297322,submit,b11432,sprint,,mobile
1563853323913,enter,b2654,sprint,,mobile
1563853333272,respond,q4122,sprint,b,mobile
1563853336162,submit,b2654,sprint,,mobile
1563853473086,enter,b5059,sprint,,mobile
1563853484042,respond,q6527,sprint,b,mobile
1563853491316,submit,b5059,sprint,,mobile
1563853621568,enter,b3365,sprint,,mobile
1563853637047,respond,q4833,sprint,c,mobile
1563853640875,submit,b3365,sprint,,mobile
1563853711917,enter,b6739,sprint,,mobile
1563853728386,respond,q9388,sprint,d,mobile
1563853731402,submit,b6739,sprint,,mobile
1563934329902,enter,b4716,sprint,,mobile
1563934335552,respond,q6184,sprint,b,mobile
1563934339125,submit,b4716,sprint,,mobile
1563934346296,enter,b3583,sprint,,mobile
1563934360441,respond,q5051,sprint,a,mobile
1563934364604,submit,b3583,sprint,,mobile
1563934384508,enter,b2799,sprint,,mobile
1563934396165,respond,q4267,sprint,c,mobile
1563934398521,submit,b2799,sprint,,mobile
1563934405486,enter,b7298,sprint,,mobile
1563934418985,respond,q9947,sprint,a,mobile
1563934422528,submit,b7298,sprint,,mobile
1563934428355,enter,b4301,sprint,,mobile
1563934441169,respond,q5769,sprint,a,mobile
1563934443968,submit,b4301,sprint,,mobile
1563934453147,enter,b3819,sprint,,mobile
1563934473118,respond,q5287,sprint,b,mobile
1563934476182,submit,b3819,sprint,,mobile
1563934520965,enter,b3844,sprint,,mobile
1563934537245,respond,q5312,sprint,d,mobile
1563934540378,submit,b3844,sprint,,mobile
1563934619734,enter,b7480,sprint,,mobile
1563934631398,respond,q10129,sprint,c,mobile
1563934634855,submit,b7480,sprint,,mobile
1563934664098,enter,b2460,sprint,,mobile
1563934666514,respond,q3928,sprint,b,mobile
1563934670210,submit,b2460,sprint,,mobile
1563934680652,enter,b5080,sprint,,mobile
1563934689016,respond,q6548,sprint,a,mobile
1563934694335,submit,b5080,sprint,,mobile
1564018979721,enter,b2444,sprint,,mobile
1564019007712,respond,q3912,sprint,c,mobile
1564019011211,submit,b2444,sprint,,mobile
1564019059554,enter,b7604,sprint,,mobile
1564019069841,respond,q10253,sprint,c,mobile
1564019073571,submit,b7604,sprint,,mobile
1564019082399,enter,b2934,sprint,,mobile
1564019095789,respond,q4402,sprint,c,mobile
1564019098589,submit,b2934,sprint,,mobile
1564019115165,enter,b3599,sprint,,mobile
1564019126685,respond,q5067,sprint,b,mobile
1564019129925,submit,b3599,sprint,,mobile
1564019136910,enter,b3071,sprint,,mobile
1564019146329,respond,q4539,sprint,a,mobile
1564019149208,submit,b3071,sprint,,mobile
1564019191062,enter,b11730,sprint,,mobile
1564019253510,respond,q17587,sprint,a,mobile
1564019256315,respond,q17587,sprint,d,mobile
1564019258659,submit,b11730,sprint,,mobile
1564019283763,enter,b4575,sprint,,mobile
1564019290926,respond,q6043,sprint,c,mobile
1564019294270,submit,b4575,sprint,,mobile
1564019303014,enter,b2498,sprint,,mobile
1564019316802,respond,q3966,sprint,a,mobile
