timestamp,action_type,item_id,source,user_answer,platform
1563598889226,enter,b4017,diagnosis,,mobile
1563598907928,respond,q5485,diagnosis,a,mobile
1563598915135,submit,b4017,diagnosis,,mobile
1563598915209,enter,b3574,diagnosis,,mobile
1563598949762,respond,q5042,diagnosis,a,mobile
1563598956160,respond,q5042,diagnosis,c,mobile
1563598962248,respond,q5042,diagnosis,d,mobile
1563598962678,respond,q5042,diagnosis,c,mobile
1563598964336,respond,q5042,diagnosis,d,mobile
1563598968341,submit,b3574,diagnosis,,mobile
1563598968395,enter,b218,diagnosis,,mobile
1563598971422,respond,q218,diagnosis,b,mobile
1563598973011,respond,q218,diagnosis,c,mobile
1563598973645,respond,q218,diagnosis,a,mobile
1563598983636,submit,b218,diagnosis,,mobile
1563599035646,enter,b218,diagnosis,,mobile
1563599056632,respond,q218,diagnosis,b,mobile
1563599061572,submit,b218,diagnosis,,mobile
1563599061638,enter,b307,diagnosis,,mobile
1563599080085,respond,q307,diagnosis,c,mobile
1563599083489,submit,b307,diagnosis,,mobile
1563599083559,enter,b2446,diagnosis,,mobile
1563599098119,respond,q3914,diagnosis,c,mobile
1563599102652,submit,b2446,diagnosis,,mobile
1563599102714,enter,b5073,diagnosis,,mobile
1563599153899,respond,q6541,diagnosis,c,mobile
1563599157279,submit,b5073,diagnosis,,mobile
1563599157332,enter,b2273,diagnosis,,mobile
1563599173782,respond,q3741,diagnosis,c,mobile
1563599178152,submit,b2273,diagnosis,,mobile
1563599178212,enter,b4577,diagnosis,,mobile
1563599225162,respond,q6045,diagnosis,b,mobile
1563599229972,submit,b4577,diagnosis,,mobile
1563599230045,enter,b3327,diagnosis,,mobile
1563599258200,respond,q4795,diagnosis,c,mobile
1563599262933,submit,b3327,diagnosis,,mobile
