timestamp,action_type,item_id,source,user_answer,platform
1546878161593,enter,b4246,diagnosis,,mobile
1546878213385,respond,q5714,diagnosis,b,mobile
1546878217067,submit,b4246,diagnosis,,mobile
1546878217183,enter,b587,diagnosis,,mobile
1546878234925,respond,q587,diagnosis,a,mobile
1546878238557,submit,b587,diagnosis,,mobile
1546878238648,enter,b2557,diagnosis,,mobile
1546878252489,respond,q4025,diagnosis,c,mobile
1546878256209,submit,b2557,diagnosis,,mobile
1546878256267,enter,b4922,diagnosis,,mobile
1546878301313,respond,q6390,diagnosis,c,mobile
1546878305085,submit,b4922,diagnosis,,mobile
1546878305139,enter,b4976,diagnosis,,mobile
1546878337923,respond,q6444,diagnosis,c,mobile
1546878341564,submit,b4976,diagnosis,,mobile
1546878341609,enter,b2646,diagnosis,,mobile
1546878392634,respond,q4114,diagnosis,a,mobile
1546878394725,respond,q4114,diagnosis,c,mobile
1546878397959,submit,b2646,diagnosis,,mobile
