timestamp,action_type,item_id,source,user_answer,platform
1567093274246,enter,b2943,diagnosis,,mobile
1567093320841,respond,q4411,diagnosis,c,mobile
1567093327249,submit,b2943,diagnosis,,mobile
1567093327339,enter,b772,diagnosis,,mobile
1567093352526,submit,b772,diagnosis,,mobile
1567093352607,enter,b4209,diagnosis,,mobile
1567093362637,respond,q5677,diagnosis,b,mobile
1567093371585,submit,b4209,diagnosis,,mobile
1567093371701,enter,b3587,diagnosis,,mobile
1567093396085,respond,q5055,diagnosis,c,mobile
1567093404134,submit,b3587,diagnosis,,mobile
1567093404231,enter,b4690,diagnosis,,mobile
1567093434472,respond,q6158,diagnosis,a,mobile
1567093463686,submit,b4690,diagnosis,,mobile
1567093463792,enter,b3797,diagnosis,,mobile
1567093481017,respond,q5265,diagnosis,c,mobile
1567093490182,respond,q5265,diagnosis,a,mobile
1567093494653,respond,q5265,diagnosis,c,mobile
1567093514962,submit,b3797,diagnosis,,mobile
1567093515055,enter,b4159,diagnosis,,mobile
1567093536685,respond,q5627,diagnosis,a,mobile
1567093545874,submit,b4159,diagnosis,,mobile
1567093545959,enter,b3939,diagnosis,,mobile
1567093575535,respond,q5407,diagnosis,c,mobile
1567093578779,respond,q5407,diagnosis,b,mobile
1567093604064,submit,b3939,diagnosis,,mobile
1567093850374,enter,b3127,diagnosis,,mobile
1567093885038,respond,q4595,diagnosis,c,mobile
1567093891856,submit,b3127,diagnosis,,mobile
1567093891916,enter,b3457,diagnosis,,mobile
1567093905041,respond,q4925,diagnosis,b,mobile
1567093923609,submit,b3457,diagnosis,,mobile
1567093923676,enter,b5774,diagnosis,,mobile
1567093935125,respond,q8423,diagnosis,a,mobile
1567093949809,submit,b5774,diagnosis,,mobile
1567093949861,enter,b3780,diagnosis,,mobile
1567093969450,respond,q5248,diagnosis,a,mobile
1567093994380,submit,b3780,diagnosis,,mobile
1567093994456,enter,b4651,diagnosis,,mobile
1567094042637,respond,q6119,diagnosis,a,mobile
1567094043652,respond,q6119,diagnosis,c,mobile
1567094048342,submit,b4651,diagnosis,,mobile
1567094048416,enter,b2551,diagnosis,,mobile
1567094087665,respond,q4019,diagnosis,b,mobile
1567094099549,submit,b2551,diagnosis,,mobile
1567094099610,enter,b5049,diagnosis,,mobile
1567094119955,respond,q6517,diagnosis,b,mobile
1567094131085,submit,b5049,diagnosis,,mobile
1567094131154,enter,b5137,diagnosis,,mobile
1567094181120,respond,q6731,diagnosis,d,mobile
1567094191171,submit,b5137,diagnosis,,mobile
