timestamp,action_type,item_id,source,user_answer,platform
1550552330984,enter,b5218,adaptive_offer,,web
1550552345108,respond,q6965,adaptive_offer,b,web
1550552359478,respond,q6966,adaptive_offer,b,web
1550552377647,respond,q6966,adaptive_offer,d,web
1550552409991,respond,q6967,adaptive_offer,b,web
1550552426640,respond,q6968,adaptive_offer,a,web
1550552427768,submit,b5218,adaptive_offer,,web
1550552454045,enter,b5115,sprint,,web
1550552464526,respond,q6673,sprint,d,web
1550552487295,respond,q6674,sprint,a,web
1550552572077,respond,q6676,sprint,d,web
1550552594819,respond,q6675,sprint,b,web
1550552596347,submit,b5115,sprint,,web
1564024306915,enter,b2456,sprint,,mobile
1564024332234,respond,q3924,sprint,c,mobile
1564024336355,submit,b2456,sprint,,mobile
1564024363577,enter,b3392,sprint,,mobile
1564024401830,respond,q4860,sprint,d,mobile
1564024407610,submit,b3392,sprint,,mobile
1564024436503,enter,b5165,sprint,,mobile
1564024448240,respond,q6759,sprint,b,mobile
1564024450909,respond,q6759,sprint,d,mobile
1564024454149,submit,b5165,sprint,,mobile
1564024517101,enter,b7672,sprint,,mobile
1564024537625,respond,q10321,sprint,c,mobile
1564024547383,respond,q10321,sprint,b,mobile
1564024558185,submit,b7672,sprint,,mobile
1564024581759,enter,b2857,sprint,,mobile
1564024590388,respond,q4325,sprint,a,mobile
1564024597789,submit,b2857,sprint,,mobile
1564024642186,enter,b2235,sprint,,mobile
1564024654629,respond,q3703,sprint,b,mobile
1564024670406,submit,b2235,sprint,,mobile
1564024696080,enter,b3567,sprint,,mobile
1564024718531,respond,q5035,sprint,d,mobile
1564024721988,submit,b3567,sprint,,mobile
1564024864167,enter,b6444,sprint,,mobile
1564024894372,respond,q9093,sprint,d,mobile
1564024899548,submit,b6444,sprint,,mobile
1564024936112,enter,b3463,sprint,,mobile
1564024952429,respond,q4931,sprint,c,mobile
1564024960640,submit,b3463,sprint,,mobile
1564024983955,enter,b5164,sprint,,mobile
1564024997579,respond,q6758,sprint,c,mobile
1564025006960,submit,b5164,sprint,,mobile
1564025053706,enter,b2854,sprint,,mobile
1564025068988,respond,q4322,sprint,b,mobile
1564025079365,submit,b2854,sprint,,mobile
