timestamp,action_type,item_id,source,user_answer,platform
1559542060726,enter,b5748,diagnosis,,web
1559542075313,respond,q8397,diagnosis,c,web
1559542076577,submit,b5748,diagnosis,,web
1559542080562,enter,b754,diagnosis,,web
1559542112108,respond,q754,diagnosis,a,web
1559542113390,submit,b754,diagnosis,,web
1559542115346,enter,b4096,diagnosis,,web
1559542131195,respond,q5564,diagnosis,a,web
1559542132611,submit,b4096,diagnosis,,web
1559542134324,enter,b4252,diagnosis,,web
1559542173946,respond,q5720,diagnosis,c,web
1559542175549,submit,b4252,diagnosis,,web
1559542178083,enter,b2823,diagnosis,,web
1559542201244,respond,q4291,diagnosis,b,web
1559542202294,submit,b2823,diagnosis,,web
1559542204091,enter,b2273,diagnosis,,web
1559542228334,respond,q3741,diagnosis,c,web
1559542229052,submit,b2273,diagnosis,,web
1559542230916,enter,b4957,diagnosis,,web
1559542270896,respond,q6425,diagnosis,b,web
1559542271638,submit,b4957,diagnosis,,web
1559542273729,enter,b4250,diagnosis,,web
1559542291540,respond,q5718,diagnosis,d,web
1559542293158,submit,b4250,diagnosis,,web
1559542295018,enter,b4922,diagnosis,,web
1559542321041,respond,q6390,diagnosis,d,web
1559542321569,submit,b4922,diagnosis,,web
1559542407470,enter,b312,sprint,,web
1559542421776,respond,q312,sprint,c,web
1559542422910,submit,b312,sprint,,web
1559542430755,enter,b987,sprint,,web
1559542447371,respond,q987,sprint,a,web
1559542448547,submit,b987,sprint,,web
1559542456011,enter,b398,sprint,,web
1559542470427,respond,q398,sprint,c,web
1559542471227,submit,b398,sprint,,web
1559542477106,enter,b8316,sprint,,web
1559542494495,respond,q11263,sprint,b,web
1559542495405,submit,b8316,sprint,,web
1559542503540,enter,b673,sprint,,web
1559542521248,respond,q673,sprint,a,web
1559542522168,submit,b673,sprint,,web
1559542525854,enter,b1130,sprint,,web
1559542535338,respond,q1130,sprint,a,web
1559542541706,submit,b1130,sprint,,web
1559542545318,enter,b247,sprint,,web
1559542561983,respond,q247,sprint,b,web
1559542562688,submit,b247,sprint,,web
1559542568035,enter,b8312,sprint,,web
1559542582032,respond,q11259,sprint,b,web
1559542584869,submit,b8312,sprint,,web
1559542588728,enter,b243,sprint,,web
1559542605972,respond,q243,sprint,c,web
1559542616848,submit,b243,sprint,,web
1559542621488,enter,b1373,sprint,,web
1559542637660,respond,q1373,sprint,c,web
1559542638627,submit,b1373,sprint,,web
